CNN,streetname,from_st,to_st,cardinal,addrange,limits,location,theOrder
33277000,BAY SHORE BLVD,FAITH ST,,,,FAITH ST intersection,,6272
33278000,HOLLADAY AVE,EVE ST,,,,EVE ST intersection,,16847
33278000,EVE ST,HOLLADAY AVE,,,,HOLLADAY AVE intersection,,12726
33279000,BAY SHORE BLVD,BAY SHORE BLVD ON RAMP \ HWY 101 S OFF RAMP,,,,BAY SHORE BLVD ON RAMP \ HWY 101 S OFF RAMP intersection,,6262
33279000,HWY 101 S OFF RAMP,BAY SHORE BLVD \ BAY SHORE BLVD ON RAMP,,,,BAY SHORE BLVD \ BAY SHORE BLVD ON RAMP intersection,,17348
33279000,BAY SHORE BLVD ON RAMP,BAY SHORE BLVD \ HWY 101 S OFF RAMP,,,,BAY SHORE BLVD \ HWY 101 S OFF RAMP intersection,,6367
33281000,BAY SHORE BLVD,EVE ST,,,,EVE ST intersection,,6264
33281000,EVE ST,BAY SHORE BLVD,,,,BAY SHORE BLVD intersection,,12730
33282000,JERROLD AVE,BAY SHORE BLVD,,,,BAY SHORE BLVD intersection,,18701
33282000,BAY SHORE BLVD,JERROLD AVE,,,,JERROLD AVE intersection,,6253
33283000,CESAR CHAVEZ ST,BAY SHORE BLVD,,,,BAY SHORE BLVD intersection,,9027
33283000,BAY SHORE BLVD,CESAR CHAVEZ ST,,,,CESAR CHAVEZ ST intersection,,6260
33284000,COSGROVE ST,BAY SHORE BLVD,,,,BAY SHORE BLVD intersection,,10434
33284000,BAY SHORE BLVD,COSGROVE ST,,,,COSGROVE ST intersection,,6279
33286000,HOLLADAY AVE,CORTLAND AVE,,,,CORTLAND AVE intersection,,16868
33286000,CORTLAND AVE,HOLLADAY AVE,,,,HOLLADAY AVE intersection,,10424
33287000,HAMPSHIRE ST,CESAR CHAVEZ ON RAMP \ CESAR CHAVEZ ST,,,,CESAR CHAVEZ ON RAMP \ CESAR CHAVEZ ST intersection,,16157
33287000,CESAR CHAVEZ ST,CESAR CHAVEZ ON RAMP \ HAMPSHIRE ST,,,,CESAR CHAVEZ ON RAMP \ HAMPSHIRE ST intersection,,9031
33287000,CESAR CHAVEZ ON RAMP,CESAR CHAVEZ ST \ HAMPSHIRE ST,,,,CESAR CHAVEZ ST \ HAMPSHIRE ST intersection,,8995
33288000,MULLEN AVE,END,,,,END intersection,,24032
33294000,BERNAL HEIGHTS BLVD,NEVADA ST \ POWHATTAN AVE,,,,NEVADA ST \ POWHATTAN AVE intersection,,6722
33294000,POWHATTAN AVE,BERNAL HEIGHTS BLVD \ NEVADA ST,,,,BERNAL HEIGHTS BLVD \ NEVADA ST intersection,,27207
33294000,NEVADA ST,BERNAL HEIGHTS BLVD \ POWHATTAN AVE,,,,BERNAL HEIGHTS BLVD \ POWHATTAN AVE intersection,,24273
33295000,CHAPMAN ST,ROSENKRANZ ST,,,,ROSENKRANZ ST intersection,,9147
33295000,ROSENKRANZ ST,CHAPMAN ST,,,,CHAPMAN ST intersection,,28347
33296000,POWHATTAN AVE,NEBRASKA ST,,,,NEBRASKA ST intersection,,27211
33296000,NEBRASKA ST,POWHATTAN AVE,,,,POWHATTAN AVE intersection,,24243
33297000,POWHATTAN AVE,CARVER ST,,,,CARVER ST intersection,,27213
33297000,CARVER ST,POWHATTAN AVE,,,,POWHATTAN AVE intersection,,8679
33298000,BRADFORD ST,BERNAL HEIGHTS BLVD,,,,BERNAL HEIGHTS BLVD intersection,,7057
33298000,BERNAL HEIGHTS BLVD,BRADFORD ST,,,,BRADFORD ST intersection,,6728
33299000,POWHATTAN AVE,FRANCONIA ST,,,,FRANCONIA ST intersection,,27219
33299000,FRANCONIA ST,POWHATTAN AVE,,,,POWHATTAN AVE intersection,,13844
33300000,FAIR AVE,PROSPECT AVE,,,,PROSPECT AVE intersection,,12825
33300000,PROSPECT AVE,FAIR AVE,,,,FAIR AVE intersection,,27383
33303000,MOJAVE ST,PERALTA AVE,,,,PERALTA AVE intersection,,23459
33303000,PERALTA AVE,MOJAVE ST,,,,MOJAVE ST intersection,,26306
33307000,CARVER ST,BERNAL HEIGHTS BLVD,,,,BERNAL HEIGHTS BLVD intersection,,8671
33307000,BERNAL HEIGHTS BLVD,CARVER ST,,,,CARVER ST intersection,,6709
33309000,BRIDGEVIEW DR,THORNE WAY,,,,THORNE WAY intersection,,7190
33309000,THORNE WAY,BRIDGEVIEW DR,,,,BRIDGEVIEW DR intersection,,31871
33310000,BRIDGEVIEW DR,UNNAMED 021,,,,UNNAMED 021 intersection,,7188
33310000,UNNAMED 021,BRIDGEVIEW DR,,,,BRIDGEVIEW DR intersection,,32586
33312000,MERRILL ST,SILVER AVE,,,,SILVER AVE intersection,,22841
33312000,SILVER AVE,MERRILL ST,,,,MERRILL ST intersection,,30172
33313000,SILVER AVE,GIRARD ST,,,,GIRARD ST intersection,,30180
33313000,GIRARD ST,SILVER AVE,,,,SILVER AVE intersection,,14979
33314000,SILVER AVE,CONGDON ST,,,,CONGDON ST intersection,,30130
33314000,CONGDON ST,SILVER AVE,,,,SILVER AVE intersection,,10185
33315000,STONEYBROOK AVE,ALEMANY BLVD,,,,ALEMANY BLVD intersection,,30991
33315000,ALEMANY BLVD,STONEYBROOK AVE,,,,STONEYBROOK AVE intersection,,4599
33323000,BENTON AVE,END,,,,END intersection,,6669
33325000,RICKARD ST,SAN BRUNO AVE,,,,SAN BRUNO AVE intersection,,27979
33325000,SAN BRUNO AVE,RICKARD ST,,,,RICKARD ST intersection,,28856
33330000,TULANE ST,PRINCETON ST,,,,PRINCETON ST intersection,,32188
33330000,PRINCETON ST,TULANE ST,,,,TULANE ST intersection,,27363
33331000,STONEYFORD AVE,GLADSTONE DR,,,,GLADSTONE DR intersection,,30998
33331000,GLADSTONE DR,STONEYFORD AVE,,,,STONEYFORD AVE intersection,,15022
33332000,SILVER AVE,LISBON ST,,,,LISBON ST intersection,,30122
33332000,LISBON ST,SILVER AVE,,,,SILVER AVE intersection,,21118
33333000,COLBY ST,SILVER AVE,,,,SILVER AVE intersection,,9937
33333000,SILVER AVE,COLBY ST,,,,COLBY ST intersection,,30156
33334000,HOLYOKE ST,DWIGHT ST,,,,DWIGHT ST intersection,,17014
33334000,DWIGHT ST,HOLYOKE ST,,,,HOLYOKE ST intersection,,11924
33335000,ERVINE ST,WILDE AVE,,,,WILDE AVE intersection,,12508
33335000,WILDE AVE,ERVINE ST,,,,ERVINE ST intersection,,34434
33336000,TUCKER AVE,DELTA ST,,,,DELTA ST intersection,,32187
33336000,DELTA ST,TUCKER AVE,,,,TUCKER AVE intersection,,11121
33337000,ALBERTA ST,CAMPBELL AVE,,,,CAMPBELL AVE intersection,,4566
33337000,CAMPBELL AVE,ALBERTA ST,,,,ALBERTA ST intersection,,8412
33338000,MANSELL ST,BRAZIL AVE,,,,BRAZIL AVE intersection,,21852
33338000,BRAZIL AVE,MANSELL ST,,,,MANSELL ST intersection,,7149
33339000,MANSELL ST,END,,,,END intersection,,21812
33344000,MANSELL ST,DARTMOUTH ST,,,,DARTMOUTH ST intersection,,21835
33344000,DARTMOUTH ST,MANSELL ST,,,,MANSELL ST intersection,,10851
33345000,SOMERSET ST,CAMPBELL AVE,,,,CAMPBELL AVE intersection,,30391
33345000,CAMPBELL AVE,SOMERSET ST,,,,SOMERSET ST intersection,,8398
33346000,ROLPH ST,LINDA VISTA STPS,,,,LINDA VISTA STPS intersection,,28258
33346000,LINDA VISTA STPS,ROLPH ST,,,,ROLPH ST intersection,,21089
33347000,GENEVA AVE,LINDA VISTA STPS,,,,LINDA VISTA STPS intersection,,14851
33347000,LINDA VISTA STPS,GENEVA AVE,,,,GENEVA AVE intersection,,21087
33348000,LONDON ST,KENNY ALY,,,,KENNY ALY intersection,,21315
33348000,KENNY ALY,LONDON ST,,,,LONDON ST intersection,,19494
33349000,ARGONAUT AVE,END,,,,END intersection,,5306
33350000,VISITACION AVE,MANSELL ST,,,,MANSELL ST intersection,,33674
33350000,MANSELL ST,VISITACION AVE,,,,VISITACION AVE intersection,,21837
33351000,POPE ST,POLARIS WAY,,,,POLARIS WAY intersection,,26873
33351000,POLARIS WAY,POPE ST,,,,POPE ST intersection,,26752
33352000,MORSE ST,UNNAMED 070,,,,UNNAMED 070 intersection,,23888
33352000,UNNAMED 070,MORSE ST,,,,MORSE ST intersection,,32669
33353000,MORSE ST,UNNAMED 069,,,,UNNAMED 069 intersection,,23892
33353000,UNNAMED 069,MORSE ST,,,,MORSE ST intersection,,32662
33354000,MORSE ST,UNNAMED 068,,,,UNNAMED 068 intersection,,23896
33354000,UNNAMED 068,MORSE ST,,,,MORSE ST intersection,,32657
33355000,HANOVER ST,UNNAMED 069,,,,UNNAMED 069 intersection,,16170
33355000,UNNAMED 069,HANOVER ST,,,,HANOVER ST intersection,,32666
33356000,HANOVER ST,UNNAMED 068,,,,UNNAMED 068 intersection,,16174
33356000,UNNAMED 068,HANOVER ST,,,,HANOVER ST intersection,,32661
33357000,UNNAMED 071,BRUNSWICK ST,,,,BRUNSWICK ST intersection,,32676
33357000,BRUNSWICK ST,UNNAMED 071,,,,UNNAMED 071 intersection,,7506
33358000,UNNAMED 070,BRUNSWICK ST,,,,BRUNSWICK ST intersection,,32671
33358000,BRUNSWICK ST,UNNAMED 070,,,,UNNAMED 070 intersection,,7510
33359000,BRUNSWICK ST,UNNAMED 069,,,,UNNAMED 069 intersection,,7514
33359000,UNNAMED 069,BRUNSWICK ST,,,,BRUNSWICK ST intersection,,32664
33360000,BRUNSWICK ST,UNNAMED 068,,,,UNNAMED 068 intersection,,7518
33360000,UNNAMED 068,BRUNSWICK ST,,,,BRUNSWICK ST intersection,,32659
33361000,PRAGUE ST,WINDING WAY,,,,WINDING WAY intersection,,27250
33361000,WINDING WAY,PRAGUE ST,,,,PRAGUE ST intersection,,34542
33362000,SAN JOSE AVE,CESAR CHAVEZ ST,,,,CESAR CHAVEZ ST intersection,,29009
33362000,CESAR CHAVEZ ST,SAN JOSE AVE,,,,SAN JOSE AVE intersection,,9070
33363000,26TH ST,SAN JOSE AVE,,,,SAN JOSE AVE intersection,,3259
33363000,SAN JOSE AVE,26TH ST,,,,26TH ST intersection,,29008
33364000,SOUTH VAN NESS AVE,CESAR CHAVEZ ST,,,,CESAR CHAVEZ ST intersection,,30496
33364000,CESAR CHAVEZ ST,SOUTH VAN NESS AVE,,,,SOUTH VAN NESS AVE intersection,,9059
33365000,ESMERALDA AVE,FRANCONIA ST \ PERALTA AVE,,,,FRANCONIA ST \ PERALTA AVE intersection,,12536
33365000,FRANCONIA ST,ESMERALDA AVE \ PERALTA AVE,,,,ESMERALDA AVE \ PERALTA AVE intersection,,13839
33365000,PERALTA AVE,ESMERALDA AVE \ FRANCONIA ST,,,,ESMERALDA AVE \ FRANCONIA ST intersection,,26295
33366000,MISSION ST,NAGLEE AVE,,,,NAGLEE AVE intersection,,23377
33366000,NAGLEE AVE,MISSION ST,,,,MISSION ST intersection,,24114
33370000,BEACON ST,HARRY ST,,,,HARRY ST intersection,,6513
33370000,HARRY ST,BEACON ST,,,,BEACON ST intersection,,16406
33371000,SAN JOSE AV OFF RAMP,SAN JOSE AVE,,,,SAN JOSE AVE intersection,,28966
33371000,SAN JOSE AVE,SAN JOSE AV OFF RAMP,,,,SAN JOSE AV OFF RAMP intersection,,29050
33375000,SAN JOSE AV OFF RAMP,DIAMOND ST \ MONTEREY BLVD \ SAN JOSE AVE,,,,DIAMOND ST \ MONTEREY BLVD \ SAN JOSE AVE intersection,,28971
33375000,SAN JOSE AVE,DIAMOND ST \ MONTEREY BLVD \ SAN JOSE AV OFF RAMP,,,,DIAMOND ST \ MONTEREY BLVD \ SAN JOSE AV OFF RAMP intersection,,28980
33375000,DIAMOND ST,MONTEREY BLVD \ SAN JOSE AV OFF RAMP \ SAN JOSE AVE,,,,MONTEREY BLVD \ SAN JOSE AV OFF RAMP \ SAN JOSE AVE intersection,,11314
33375000,MONTEREY BLVD,DIAMOND ST \ SAN JOSE AV OFF RAMP \ SAN JOSE AVE,,,,DIAMOND ST \ SAN JOSE AV OFF RAMP \ SAN JOSE AVE intersection,,23557
33376000,PILGRIM AVE,OLORAN AVE,,,,OLORAN AVE intersection,,26539
33376000,OLORAN AVE,PILGRIM AVE,,,,PILGRIM AVE intersection,,25272
33377000,BADEN ST,SAN JOSE AVE,,,,SAN JOSE AVE intersection,,5824
33377000,SAN JOSE AVE,BADEN ST,,,,BADEN ST intersection,,29063
33378000,SAINT MARYS AVE,ARLINGTON ST,,,,ARLINGTON ST intersection,,28713
33378000,ARLINGTON ST,SAINT MARYS AVE,,,,SAINT MARYS AVE intersection,,5409
33379000,SUSSEX ST,OHLONE WAY,,,,OHLONE WAY intersection,,31223
33379000,OHLONE WAY,SUSSEX ST,,,,SUSSEX ST intersection,,25219
33380000,SURREY ST,OHLONE WAY,,,,OHLONE WAY intersection,,31210
33380000,OHLONE WAY,SURREY ST,,,,SURREY ST intersection,,25221
33382000,MILTON ST,MIRANDO WAY,,,,MIRANDO WAY intersection,,22955
33382000,MIRANDO WAY,MILTON ST,,,,MILTON ST intersection,,23070
33384000,CAYUGA AVE,GORHAM ST,,,,GORHAM ST intersection,,8864
33384000,GORHAM ST,CAYUGA AVE,,,,CAYUGA AVE intersection,,15254
33386000,CALVERT DR,BADGER ST,,,,BADGER ST intersection,,8337
33386000,BADGER ST,CALVERT DR,,,,CALVERT DR intersection,,5844
33387000,LAMARTINE ST,CALVERT DR \ HILLSIDE LN,,,,CALVERT DR \ HILLSIDE LN intersection,,20205
33387000,CALVERT DR,HILLSIDE LN \ LAMARTINE ST,,,,HILLSIDE LN \ LAMARTINE ST intersection,,8335
33387000,HILLSIDE LN,CALVERT DR \ LAMARTINE ST,,,,CALVERT DR \ LAMARTINE ST intersection,,16792
33388000,CALVERT DR,DANTON ST,,,,DANTON ST intersection,,8333
33388000,DANTON ST,CALVERT DR,,,,CALVERT DR intersection,,10800
33389000,CIRCULAR AVE,FLOOD AVE,,,,FLOOD AVE intersection,,9513
33389000,FLOOD AVE,CIRCULAR AVE,,,,CIRCULAR AVE intersection,,13358
33390000,BOSWORTH ST,HAMERTON AVE,,,,HAMERTON AVE intersection,,6973
33390000,HAMERTON AVE,BOSWORTH ST,,,,BOSWORTH ST intersection,,16099
33391000,MISSION ST,COLLEGE TER,,,,COLLEGE TER intersection,,23282
33391000,COLLEGE TER,MISSION ST,,,,MISSION ST intersection,,10042
33393000,SAN JOSE AV OFF RAMP,I-280 S ON RAMP \ SAN JOSE AVE,,,,I-280 S ON RAMP \ SAN JOSE AVE intersection,,28969
33393000,SAN JOSE AVE,I-280 S ON RAMP \ SAN JOSE AV OFF RAMP,,,,I-280 S ON RAMP \ SAN JOSE AV OFF RAMP intersection,,29052
33393000,I-280 S ON RAMP,SAN JOSE AV OFF RAMP \ SAN JOSE AVE,,,,SAN JOSE AV OFF RAMP \ SAN JOSE AVE intersection,,17672
33394000,SAN JOSE AVE,I-280 N OFF RAMP \ SAN JOSE AV ON RAMP,,,,I-280 N OFF RAMP \ SAN JOSE AV ON RAMP intersection,,29044
33394000,I-280 N OFF RAMP,SAN JOSE AV ON RAMP \ SAN JOSE AVE,,,,SAN JOSE AV ON RAMP \ SAN JOSE AVE intersection,,17571
33394000,SAN JOSE AV ON RAMP,I-280 N OFF RAMP \ SAN JOSE AVE,,,,I-280 N OFF RAMP \ SAN JOSE AVE intersection,,28974
33399000,UNNAMED 024,LIPPARD AVE,,,,LIPPARD AVE intersection,,32587
33399000,LIPPARD AVE,UNNAMED 024,,,,UNNAMED 024 intersection,,21111
33400000,UNNAMED 011,PENNY LN \ UNNAMED 025,,,,PENNY LN \ UNNAMED 025 intersection,,32577
33400000,UNNAMED 025,PENNY LN \ UNNAMED 011,,,,PENNY LN \ UNNAMED 011 intersection,,32590
33400000,PENNY LN,UNNAMED 011 \ UNNAMED 025,,,,UNNAMED 011 \ UNNAMED 025 intersection,,26268
33401000,UNNAMED 011,SUSSEX ST,,,,SUSSEX ST intersection,,32575
33401000,SUSSEX ST,UNNAMED 011,,,,UNNAMED 011 intersection,,31219
33402000,DIAMOND ST,PENNY LN,,,,PENNY LN intersection,,11300
33402000,PENNY LN,DIAMOND ST,,,,DIAMOND ST intersection,,26266
33404000,SANTA ROSA AVE,OLORAN AVE,,,,OLORAN AVE intersection,,29405
33404000,OLORAN AVE,SANTA ROSA AVE,,,,SANTA ROSA AVE intersection,,25274
33406000,MONCADA WAY,JUNIPERO SERRA BLVD,,,,JUNIPERO SERRA BLVD intersection,,23484
33406000,JUNIPERO SERRA BLVD,MONCADA WAY,,,,MONCADA WAY intersection,,19249
33407000,MONCADA WAY,JUNIPERO SERRA BLVD,,,,JUNIPERO SERRA BLVD intersection,,23486
33407000,JUNIPERO SERRA BLVD,MONCADA WAY,,,,MONCADA WAY intersection,,19184
33408000,PALOMA AVE,JUNIPERO SERRA BLVD,,,,JUNIPERO SERRA BLVD intersection,,25939
33408000,JUNIPERO SERRA BLVD,PALOMA AVE,,,,PALOMA AVE intersection,,19186
33409000,PALOMA AVE,JUNIPERO SERRA BLVD,,,,JUNIPERO SERRA BLVD intersection,,25937
33409000,JUNIPERO SERRA BLVD,PALOMA AVE,,,,PALOMA AVE intersection,,19251
33410000,JUNIPERO SERRA BLVD,EL PLAZUELA WAY,,,,EL PLAZUELA WAY intersection,,19253
33410000,EL PLAZUELA WAY,JUNIPERO SERRA BLVD,,,,JUNIPERO SERRA BLVD intersection,,12221
33411000,JUNIPERO SERRA BLVD,MERCEDES WAY \ WINSTON DR,,,,MERCEDES WAY \ WINSTON DR intersection,,19188
33411000,MERCEDES WAY,JUNIPERO SERRA BLVD \ WINSTON DR,,,,JUNIPERO SERRA BLVD \ WINSTON DR intersection,,22803
33411000,WINSTON DR,JUNIPERO SERRA BLVD \ MERCEDES WAY,,,,JUNIPERO SERRA BLVD \ MERCEDES WAY intersection,,34555
33412000,MERCEDES WAY,JUNIPERO SERRA BLVD,,,,JUNIPERO SERRA BLVD intersection,,22805
33412000,JUNIPERO SERRA BLVD,MERCEDES WAY,,,,MERCEDES WAY intersection,,19255
33413000,MONCADA WAY,END,,,,END intersection,,23479
33414000,MONCADA WAY,END,,,,END intersection,,23477
33415000,JUNIPERO SERRA BLVD,ESTERO AVE,,,,ESTERO AVE intersection,,19193
33415000,ESTERO AVE,JUNIPERO SERRA BLVD,,,,JUNIPERO SERRA BLVD intersection,,12564
33416000,JUNIPERO SERRA BLVD,ESTERO AVE,,,,ESTERO AVE intersection,,19257
33416000,ESTERO AVE,JUNIPERO SERRA BLVD,,,,JUNIPERO SERRA BLVD intersection,,12562
33417000,ASHTON AVE,LEGION CT,,,,LEGION CT intersection,,5507
33417000,LEGION CT,ASHTON AVE,,,,ASHTON AVE intersection,,20683
33418000,INGLESIDE PATH,URBANO DR,,,,URBANO DR intersection,,18092
33418000,URBANO DR,INGLESIDE PATH,,,,INGLESIDE PATH intersection,,32881
33419000,MORELAND ST,DIAMOND ST,,,,DIAMOND ST intersection,,23851
33419000,DIAMOND ST,MORELAND ST,,,,MORELAND ST intersection,,11290
33421000,CONGO ST,END,,,,END intersection,,10202
33422000,WALKWAY,URBANO DR,,,,URBANO DR intersection,,33723
33422000,URBANO DR,WALKWAY,,,,WALKWAY intersection,,32903
33423000,HEAD ST,WALKWAY,,,,WALKWAY intersection,,16619
33423000,WALKWAY,HEAD ST,,,,HEAD ST intersection,,33721
33425000,SAN JOSE AVE,END,,,,END intersection,,28993
33427000,ONONDAGA AVE,ROSELLA CT,,,,ROSELLA CT intersection,,25317
33427000,ROSELLA CT,ONONDAGA AVE,,,,ONONDAGA AVE intersection,,28335
33428000,CAYUGA AVE,SUNBEAM LN,,,,SUNBEAM LN intersection,,8888
33428000,SUNBEAM LN,CAYUGA AVE,,,,CAYUGA AVE intersection,,31070
33430000,OCEAN AVE,GENEVA AVE,,,,GENEVA AVE intersection,,24894
33430000,GENEVA AVE,OCEAN AVE,,,,OCEAN AVE intersection,,14779
33431000,NIANTIC AVE,PANAMA ST,,,,PANAMA ST intersection,,24426
33431000,PANAMA ST,NIANTIC AVE,,,,NIANTIC AVE intersection,,25983
33432000,PAYSON ST,SAINT CHARLES AVE,,,,SAINT CHARLES AVE intersection,,26199
33432000,SAINT CHARLES AVE,PAYSON ST,,,,PAYSON ST intersection,,28649
33433000,ALEMANY BLVD,RAMSELL ST,,,,RAMSELL ST intersection,,4715
33433000,RAMSELL ST,ALEMANY BLVD,,,,ALEMANY BLVD intersection,,27664
33434000,ALEMANY BLVD,BROTHERHOOD WAY,,,,BROTHERHOOD WAY intersection,,4707
33434000,BROTHERHOOD WAY,ALEMANY BLVD,,,,ALEMANY BLVD intersection,,7456
33435000,BRIGHT ST,ALEMANY BLVD,,,,ALEMANY BLVD intersection,,7206
33435000,ALEMANY BLVD,BRIGHT ST,,,,BRIGHT ST intersection,,4705
33436000,SAGAMORE ST,ALEMANY BLVD \ BROTHERHOOD WAY,,,,ALEMANY BLVD \ BROTHERHOOD WAY intersection,,28639
33436000,ALEMANY BLVD,BROTHERHOOD WAY \ SAGAMORE ST,,,,BROTHERHOOD WAY \ SAGAMORE ST intersection,,4709
33436000,BROTHERHOOD WAY,ALEMANY BLVD \ SAGAMORE ST,,,,ALEMANY BLVD \ SAGAMORE ST intersection,,7459
33437000,SAGAMORE ST,END,,,,END intersection,,28635
33438000,SICKLES AVE,ALEMANY BLVD,,,,ALEMANY BLVD intersection,,30068
33438000,ALEMANY BLVD,SICKLES AVE,,,,SICKLES AVE intersection,,4733
33440000,DE WOLF ST,ALEMANY BLVD,,,,ALEMANY BLVD intersection,,11004
33440000,ALEMANY BLVD,DE WOLF ST,,,,DE WOLF ST intersection,,4691
33441000,CAYUGA AVE,ALEMANY BLVD,,,,ALEMANY BLVD intersection,,8917
33441000,ALEMANY BLVD,CAYUGA AVE,,,,CAYUGA AVE intersection,,4687
33442000,UNNAMED 027,BERTITA ST,,,,BERTITA ST intersection,,32598
33442000,BERTITA ST,UNNAMED 027,,,,UNNAMED 027 intersection,,6772
33443000,SANTA BARBARA AVE,HEAD ST,,,,HEAD ST intersection,,29335
33443000,HEAD ST,SANTA BARBARA AVE,,,,SANTA BARBARA AVE intersection,,16589
33448000,STRATFORD DR,JUNIPERO SERRA BLVD,,,,JUNIPERO SERRA BLVD intersection,,31038
33448000,JUNIPERO SERRA BLVD,STRATFORD DR,,,,STRATFORD DR intersection,,19204
33453000,DE LONG ST,END,,,,END intersection,,10977
33454000,HEAD ST,SHAKESPEARE ST,,,,SHAKESPEARE ST intersection,,16591
33454000,SHAKESPEARE ST,HEAD ST,,,,HEAD ST intersection,,29860
33455000,UNNAMED 026,DIAMOND ST,,,,DIAMOND ST intersection,,32593
33455000,DIAMOND ST,UNNAMED 026,,,,UNNAMED 026 intersection,,11304
33457000,RIDGE LN,SAN JOSE AVE,,,,SAN JOSE AVE intersection,,27988
33457000,SAN JOSE AVE,RIDGE LN,,,,RIDGE LN intersection,,29098
33459000,SAN JOSE AVE,NAGLEE AVE,,,,NAGLEE AVE intersection,,29103
33459000,NAGLEE AVE,SAN JOSE AVE,,,,SAN JOSE AVE intersection,,24129
33460000,SUMMIT ST,MAJESTIC AVE,,,,MAJESTIC AVE intersection,,31047
33460000,MAJESTIC AVE,SUMMIT ST,,,,SUMMIT ST intersection,,21727
33462000,19TH AVE,SAINT CHARLES AVE,,,,SAINT CHARLES AVE intersection,,2020
33462000,SAINT CHARLES AVE,19TH AVE,,,,19TH AVE intersection,,28642
33467000,ALEMANY BLVD,JUNIPERO SERRA BLVD,,,,JUNIPERO SERRA BLVD intersection,,4727
33467000,JUNIPERO SERRA BLVD,ALEMANY BLVD,,,,ALEMANY BLVD intersection,,19215
33468000,JUNIPERO SERRA  BLVD ON RAMP,JUNIPERO SERRA BLVD,,,,JUNIPERO SERRA BLVD intersection,,19170
33468000,JUNIPERO SERRA BLVD,JUNIPERO SERRA  BLVD ON RAMP,,,,JUNIPERO SERRA  BLVD ON RAMP intersection,,19207
33469000,JUNIPERO SERRA  BLVD ON RAMP,BROTHERHOOD WAY,,,,BROTHERHOOD WAY intersection,,19168
33469000,BROTHERHOOD WAY,JUNIPERO SERRA  BLVD ON RAMP,,,,JUNIPERO SERRA  BLVD ON RAMP intersection,,7470
33470000,JUNIPERO SERRA BLVD,JUNIPERO SERRA BLVD OFF RAMP,,,,JUNIPERO SERRA BLVD OFF RAMP intersection,,19209
33470000,JUNIPERO SERRA BLVD OFF RAMP,JUNIPERO SERRA BLVD,,,,JUNIPERO SERRA BLVD intersection,,19262
33471000,BROTHERHOOD WAY,JUNIPERO SERRA BLVD OFF RAMP,,,,JUNIPERO SERRA BLVD OFF RAMP intersection,,7472
33471000,JUNIPERO SERRA BLVD OFF RAMP,BROTHERHOOD WAY,,,,BROTHERHOOD WAY intersection,,19264
33472000,JUNIPERO SERRA BLVD,JUNIPERO SERRA BLVD ON RAMP,,,,JUNIPERO SERRA BLVD ON RAMP intersection,,19211
33472000,JUNIPERO SERRA BLVD ON RAMP,JUNIPERO SERRA BLVD,,,,JUNIPERO SERRA BLVD intersection,,19267
33473000,JUNIPERO SERRA  BLVD OFF RAMP,JUNIPERO SERRA BLVD,,,,JUNIPERO SERRA BLVD intersection,,19159
33473000,JUNIPERO SERRA BLVD,JUNIPERO SERRA  BLVD OFF RAMP,,,,JUNIPERO SERRA  BLVD OFF RAMP intersection,,19221
33474000,BROTHERHOOD WAY,JUNIPERO SERRA  BLVD OFF RAMP,,,,JUNIPERO SERRA  BLVD OFF RAMP intersection,,7474
33474000,JUNIPERO SERRA  BLVD OFF RAMP,BROTHERHOOD WAY,,,,BROTHERHOOD WAY intersection,,19161
33475000,JUNIPERO SERRA  BLVD ON RAMP,BROTHERHOOD WAY,,,,BROTHERHOOD WAY intersection,,19165
33475000,BROTHERHOOD WAY,JUNIPERO SERRA  BLVD ON RAMP,,,,JUNIPERO SERRA  BLVD ON RAMP intersection,,7466
33476000,JUNIPERO SERRA BLVD,JUNIPERO SERRA  BLVD ON RAMP,,,,JUNIPERO SERRA  BLVD ON RAMP intersection,,19225
33476000,JUNIPERO SERRA  BLVD ON RAMP,JUNIPERO SERRA BLVD,,,,JUNIPERO SERRA BLVD intersection,,19167
33477000,JUNIPERO SERRA  BLVD OFF RAMP,BROTHERHOOD WAY,,,,BROTHERHOOD WAY intersection,,19164
33477000,BROTHERHOOD WAY,JUNIPERO SERRA  BLVD OFF RAMP,,,,JUNIPERO SERRA  BLVD OFF RAMP intersection,,7464
33478000,JUNIPERO SERRA  BLVD OFF RAMP,JUNIPERO SERRA BLVD,,,,JUNIPERO SERRA BLVD intersection,,19162
33478000,JUNIPERO SERRA BLVD,JUNIPERO SERRA  BLVD OFF RAMP,,,,JUNIPERO SERRA  BLVD OFF RAMP intersection,,19223
33479000,FONT BLVD,CHUMASERO DR,,,,CHUMASERO DR intersection,,13600
33479000,CHUMASERO DR,FONT BLVD,,,,FONT BLVD intersection,,9402
33480000,CAMBON DR,FONT BLVD,,,,FONT BLVD intersection,,8344
33480000,FONT BLVD,CAMBON DR,,,,CAMBON DR intersection,,13603
33481000,FONT BLVD,GONZALEZ DR,,,,GONZALEZ DR intersection,,13606
33481000,GONZALEZ DR,FONT BLVD,,,,FONT BLVD intersection,,15223
33483000,GRIJALVA DR,GONZALEZ DR,,,,GONZALEZ DR intersection,,15838
33483000,GONZALEZ DR,GRIJALVA DR,,,,GRIJALVA DR intersection,,15229
33484000,FONT BLVD,HOLLOWAY AVE \ TAPIA DR,,,,HOLLOWAY AVE \ TAPIA DR intersection,,13616
33484000,TAPIA DR,FONT BLVD \ HOLLOWAY AVE,,,,FONT BLVD \ HOLLOWAY AVE intersection,,31378
