CNN,streetname,from_st,to_st,cardinal,addrange,limits,location,theOrder
21543000,WHIPPLE AVE,RAE AVE,,,,RAE AVE intersection,,34350
21544000,RAE AVE,FARRAGUT AVE,,,,FARRAGUT AVE intersection,,27624
21544000,FARRAGUT AVE,RAE AVE,,,,RAE AVE intersection,,12915
21545000,NAGLEE AVE,RAE AVE,,,,RAE AVE intersection,,24118
21545000,RAE AVE,NAGLEE AVE,,,,NAGLEE AVE intersection,,27620
21547000,MISSION ST,FARRAGUT AVE,,,,FARRAGUT AVE intersection,,23385
21547000,FARRAGUT AVE,MISSION ST,,,,MISSION ST intersection,,12911
21548000,LAURA ST,MISSION ST,,,,MISSION ST intersection,,20421
21548000,MISSION ST,LAURA ST,,,,LAURA ST intersection,,23387
21549000,FARRAGUT AVE,ELLINGTON AVE,,,,ELLINGTON AVE intersection,,12913
21549000,ELLINGTON AVE,FARRAGUT AVE,,,,FARRAGUT AVE intersection,,12301
21550000,OLIVER ST,MISSION ST,,,,MISSION ST intersection,,25236
21550000,MISSION ST,OLIVER ST,,,,OLIVER ST intersection,,23389
21551000,MISSION ST,LAWRENCE AVE,,,,LAWRENCE AVE intersection,,23391
21551000,LAWRENCE AVE,MISSION ST,,,,MISSION ST intersection,,20454
21552000,MISSION ST,ACTON ST \ SICKLES AVE,,,,ACTON ST \ SICKLES AVE intersection,,23393
21552000,ACTON ST,MISSION ST \ SICKLES AVE,,,,MISSION ST \ SICKLES AVE intersection,,4434
21552000,SICKLES AVE,ACTON ST \ MISSION ST,,,,ACTON ST \ MISSION ST intersection,,30058
21553000,HURON AVE,LAWRENCE AVE,,,,LAWRENCE AVE intersection,,17238
21553000,LAWRENCE AVE,HURON AVE,,,,HURON AVE intersection,,20456
21554000,HURON AVE,FARRAGUT AVE,,,,FARRAGUT AVE intersection,,17234
21554000,FARRAGUT AVE,HURON AVE,,,,HURON AVE intersection,,12917
21555000,MILAN TER,HURON AVE,,,,HURON AVE intersection,,22928
21555000,HURON AVE,MILAN TER,,,,MILAN TER intersection,,17232
21556000,HURON AVE,LAURA ST,,,,LAURA ST intersection,,17236
21556000,LAURA ST,HURON AVE,,,,HURON AVE intersection,,20423
21557000,HURON AVE,NAGLEE AVE,,,,NAGLEE AVE intersection,,17226
21557000,NAGLEE AVE,HURON AVE,,,,HURON AVE intersection,,24120
21558000,HURON AVE,FREDSON CT,,,,FREDSON CT intersection,,17224
21558000,FREDSON CT,HURON AVE,,,,HURON AVE intersection,,13982
21560000,HURON AVE,MONETA WAY,,,,MONETA WAY intersection,,17228
21560000,MONETA WAY,HURON AVE,,,,HURON AVE intersection,,23490
21561000,NAGLEE AVE,ALEMANY BLVD,,,,ALEMANY BLVD intersection,,24122
21561000,ALEMANY BLVD,NAGLEE AVE,,,,NAGLEE AVE intersection,,4674
